Full Name, Age, Phone number, Street Adress, Code, City, Pet
Maja Vedvik,20,+47 29 08 73 72,Bergholtet 6,3145,Stav,Jagdterrier
Thomas Berntsen,65,00903076,Gamle Torgstranda 45,8305,Inn,Basenji
Madeleine Jørgensen,44,592 48 929,Holmsvei 2,0921,Inn,Siberian
Martine Fjeld,64,03 78 86 17,Eikegata 0,0763,Stav,Siberian
Sondre Borge,55,484 17 907,Juliegata 40,0300,Tand,American Wirehair
Andrea Stensrud,53,39 18 98 04,Karlsenveien 65,0717,Tand,Egyptian Mau
Maja Kristiansen I,93,+47 78 39 46 85,Majasgate 8,5158,Stav,Portuguese Water Dog
Oda Ruud III,28,50880527,Martinesgate 1,1471,Lo,Bracco Italiano
Andrea Andresen,95,94413816,Hagengata 77,0051,Fager,Welsh Springer Spaniel
Markus Lunde II,87,72578294,Berntsens Gate 6,8527,Tand,Miniature Bull Terrier
Dr. Håkon Smogeli,60,+47 31 71 39 23,Fossegjerdet 6,0821,Gjes,Siberian
Elise Aasen,30,+47 36 12 32 14,Svendsengata 0,9488,Sme,Japanese Bobtail
Sandra Skuterud,94,+47 50 39 35 58,Karolinegata 28,0172,Inn,American Curl
Sander Danielsen,35,942 17 657,Østre Blåveismarka 18,0294,Stav,Peterbald
Fredrik Jensen,80,579 01 157,Vestre Damtoppen 17,6306,Inn,Drentse Patrijshond
Henrik Gran,30,210 61 941,Andresengata 19,0317,Sand,Portuguese Water Dog
Even Vegge II,51,70 53 72 84,Solheimgata 4,9050,Lille,Jack Russell Terrier
Noah Olsen V,26,+47 87 23 42 03,Solheims Vei 5,2507,Vest,Nebelung
Frida Skuterud V,25,26051332,Jakobveien 9,0128,Fager,Maine Coon
Tobias Østli,68,+47 14 67 42 22,Tingspranget 11,2222,Lo,American Curl
Sunniva Jakobsen,63,71 15 92 57,Sindreveien 62,1679,Gjes,Toyger
Mikkel Huseby,73,mji2d0ns,Nguyensvei 8,2842,Tand,Himalayan
Mari Kristiansen,74,80 38 10 14,Malmrøa 76,0571,Lo,Minskin
Anna Huseby II,46,324 47 348,Adrianveien 5,0773,Inn,Singapura
Nora Jakobsen,65,87 40 63 19,Markussgate 9,4962,Fet,Minskin
Theodor Solheim,80,+47 36 91 67 82,Hannasgate 1,3723,Mal,Chortai
Camilla Huseby,67,349 47 453,Klevensvei 2,2613,Lo,Norfolk Terrier
Jonas Nilsen,84,54874467,Malmvika 39,0101,Fager,Pixiebob
Fredrik Karlsen,61,+47 61 80 57 81,Vestre Bjørkeåsen 09,8315,Fet,Briquet Griffon Vendéen
Karoline Moe,91,+47 72 29 97 30,Jakobveien 08,5805,Nord,Pyrenean Mountain Dog
Dr. Noah Solheim,62,+47 77 44 36 30,Bjerkeveien 1,0280,Inn,Briard
Fredrik Jørgensen,86,+47 25 16 84 08,Idasvei 2,3043,Tand,Chartreux
Mina Aalerud,21,78661063,Benjamins Vei 2,6495,Stav,Dunker
Karoline Berntsen,36,26 39 23 86,Lilleholtet 5,2973,Fet,Japanese Bobtail
Celine Olsen,38,94 64 25 77,Østre Fosseholtet 7,3391,Gjes,Bull Arab
Kristine Nguyen,42,230 61 425,Elvestubben 9,6123,Nord,Serengeti
Aksel Aalerud,27,115 12 613,Miasgate 54,0578,Sand,American Shorthair
Alexander Torgersen,39,00453413,Haukelidsætersgate 55,8628,Vest,Styrian Coarse-haired Hound
Elias Danielsen,42,+47 15 35 00 70,Johannessens Vei 4,1495,Fet,Savannah
Sofie Sørlie,61,251 57 476,Sindres Vei 26,1561,Stor,Thai
William Martinsen,29,741 20 435,Sindregata 5,0201,Ut,Pharaoh Hound
Noah Moen,61,678 30 973,Korsberget 4,7125,Fager,Coton de Tulear
Sofie Strand,59,49126856,Østbysgate 6,4885,Inn,Exotic Shorthair
Sondre Kvarme,71,96 17 99 83,Geiterygghavna 5,3438,Ut,East Siberian Laika
Prof. Thea Haukelidsæter,16,054 84 505,Nedre Rognebråten 1,8635,Nær,Šarplaninac
Julie Johansen,68,271 85 400,Solheimsvei 7,6689,Lo,Patterdale Terrier
Filip Dahl,34,30 72 49 62,Søndre Granengen 79,7436,Fager,Snowshoe
Karoline Røed,18,660 22 448,Amalieveien 9,8451,Fager,Field Spaniel
Håkon Mathisen,69,03 66 78 60,Solstranda 72,0077,Tand,Samoyed
Leah Nilsen,66,79827923,Jonathangata 1,1688,Ut,Kishu
Mina Vegge,54,757 03 155,Odasvei 67,3890,Sme,Sapsali
Mathilde Torp,90,yck9gdub,Søndre Granitteggen 66,9636,Sand,Turkish Van
Aksel Jensen,55,37998683,Ingrids Gate 1,0350,Gjes,Munchkin
62,51004139,Gamle Fossejordet 79,0932,Nord,Siberian
Kasper Glosli,26,059 68 152,Korsmarka 48,7769,Fager,Tamaskan Dog
Maria Evensen,76,344 09 872,Isaks Gate 30,3156,Gjes,Singapura
Emil Nordby,69,96 35 63 61,Solgjerdet 25,0051,Nord,Mountain Feist
Natalie Hopland,44,07628781,Østre Grankollen 05,2499,Inn,Cornish Rex
Marie Ruud,81,+47 25 86 51 66,Østre Bekkeskrenten 03,0310,Sand,Tibetan Terrier
Martin Sæther,84,574 90 138,Vestre Kirkemoen 95,1735,Nord,Kurilian Bobtail
Adrian Tangen I,28,083 67 844,Heddaveien 2,0903,Sand,Somali
Dr. Theodor Strand,43,05768369,Gamle Heggelia 3,0564,Inn,Komondor
Martine Nielsen,64,71 71 96 48,Hannas Gate 7,0978,Høy,Australian Stumpy Tail Cattle Dog
Mathias Jørgensen,74,66164770,Camillas Vei 8,5014,Lo,Small Münsterländer
Håkon Smogeli II,89,64 36 53 13,Øvre Korsstubben 93,8727,Lo,Basque Shepherd Dog
Andreas Sørlie V,21,+47 54 14 61 43,Isaks Gate 6,0373,Inn,Hällefors Elkhound
Malin Huseby,32,+47 61 33 33 12,Selmaveien 69,5632,Fager,Bearded Collie
Prof. Kristine Skuterud,52,+47 31 77 88 61,Nedre Kirkerøa 73,0368,Mal,Donskoy
Dr. Amalie Halvorsen,42,47650043,Tuvagata 39,9509,Inn,Persian
Nora Berntsen,27,72000806,Blåveisgrenda 4,8746,Fager,Selkirk Rex
Sandra Haukelidsæter,28,657 54 582,Nikolaigata 18,0405,Sand,Ocicat
Camilla Nordby,62,+47 14 46 45 44,Alexandersvei 8,5925,Høy,Peterbald
Mikkel Borge,41,81 98 70 71,Søndre Heggeringen 39,7134,Gjes,Carea Castellano Manchego
Mathias Johannessen,44,91323872,Adriansgate 26,4181,Stav,Burmese
Mats Haukelidsæter,40,045 83 495,Kroghsvei 24,0750,Høy,Devon Rex
Oliver Karlsen,17,713 19 724,Bekkesvingen 2,0009,Stor,Neapolitan Mastiff
Victoria Lie V,60,464 47 479,Søndre Prestestubben 5,6890,Lo,Basset Bleu de Gascogne
Simen Carlsen,92,+47 40 60 87 73,Vestre Eikebråten 9,0477,Stav,Berger Picard
Tobias Solberg IV,25,+47 55 10 31 16,Østre Kirkegrenda 7,0098,Sand,Siamese
Silje Hansen,61,841 92 498,Aasengata 59,8963,Mal,Polish Tatra Sheepdog
Victoria Sæther,52,16422462,Øvre Fiolspranget 64,3656,Fet,Ojos Azules
Ingrid Strand,51,344 66 975,Søndre Furukroken 82,8059,Lille,Ratonero Valenciano
Simen Huseby Jr.,55,97635978,Elvevika 9,9959,Lille,Savannah
Oliver Dahl,48,59 86 62 62,Blåveissvingen 3,6090,Fet,Highlander
Prof. Hanna Skoglund,33,38 25 30 75,Vestre Granstranda 59,6115,Nord,Cornish Rex
Jonas Ruud,90,41527742,Geiteryggvollen 15,7411,Vest,Thai
Dr. Camilla Torgersen III,83,05001165,Moesgate 5,0578,Sand,Anglo-Français de Petite Vénerie
Simen Nguyen,66,+47 41 04 21 96,Søndre Granittvollen 47,0841,Høy,Dalmatian
Herman Kristoffersen,84,+47 52 35 51 26,Blåveislunden 0,1584,Fet,German Wirehaired Pointer
Nora Stensrud,18,+47 28 53 99 09,Bakkens Gate 6,6829,Stor,Somali
Even Dahl,84,85049309,Andreas Vei 43,1979,Inn,Carea Castellano Manchego
Simen Johannessen,33,+47 76 32 75 19,Søndre Soldugggropa 3,1404,Stav,Himalayan
Silje Solheim,16,400 27 733,Gamle Heggestranda 2,1934,Fager,Braque Saint-Germain
Karoline Torgersen,19,26 09 56 37,Øvre Eikegata 4,1003,Lille,Dachshund
Prof. Jakob Arnesen,88,87 59 87 11,Gamle Tinggropa 3,1638,Sme,Cornish Rex
Mathilde Eide,40,101 63 147,Blåveislyngen 02,9467,Tand,Kai Ken
Jonathan Dahl III,50,09 74 04 64,Henriksens Vei 3,7127,Nær,Silken Windhound
Aksel Kristiansen,57,+47 93 98 69 45,Henriksens Gate 6,0494,Sand,Papillon
Nikolai Berge,34,+47 63 83 33 90,Fossealléen 4,2078,Lo,Siamese
Linnea Kleven,23,798 32 725,Mathisensgate 34,1342,Sand,New Zealand Heading Dog
Tiril Thoresen,73,76113274,Bergtunet 70,0755,Fet,Toyger
Emil Fredriksen,60,00 34 27 71,Liesgate 7,0105,Gjes,Bergamasco Shepherd
Erik Karlsen,54,+47 62 07 93 14,Litjflata 7,7540,Nær,Schapendoes
Dr. Marte Vegge,20,49840094,Karolinegata 3,8936,Ut,Braque Francais
Dr. Nora Torp,26,01 53 05 68,Jensensgate 48,0071,Vest,Carpathian Shepherd Dog
Linnea Strand,23,53483553,Vedviksvei 9,0772,Tand,Polish Tatra Sheepdog
Martin Østby,36,+47 33 46 95 46,Majaveien 89,3276,Fet,Weimaraner
William Borge,33,267 26 352,Joakimgata 7,0906,Inn,Weimaraner
Camilla Fossum,68,44334741,Malmbakken 2,5040,Lo,Abyssinian
Julie Borge Sr.,25,50 18 66 65,Vassmarka 9,0215,Nord,Silky Terrier
Anna Dahl,84,37 27 96 29,Tuvaveien 0,3296,Fet,Garafian Shepherd
Ida Henriksen,50,110 14 898,Bakkeveien 97,2584,Tand,Singapura
Jakob Fredriksen,44,80417302,Leahsvei 0,8241,Stav,English Mastiff
Frida Solheim,41,723 70 722,Hermans Gate 13,0806,Stor,Singapura
Synne Torp,44,+47 48 47 14 20,Vestre Hestemyrgjerdet 6,3767,Tand,Japanese Bobtail
Martin Jakobsen,62,+47 45 59 65 43,Skuterudveien 17,0850,Lille,Abyssinian
Mathias Fjeld IV,83,03 05 29 00,Thomasgata 5,8046,Nord,Norfolk Terrier
Martine Myhrer,57,079 14 433,Johansens Gate 8,0786,Tand,Bombay
Dr. Silje Løken,22,+47 52 39 74 01,Fridas Vei 2,0874,Vest,Siamese
Selma Thoresen,74,+47 55 04 88 48,Bergtunet 1,5447,Inn,Sokoke
Hanna Bakke,22,20 37 89 53,Emilsvei 9,5974,Ut,Border Collie
Sebastian Strand,79,92794683,Gamle Kirkegrenda 8,0422,Sand,Snowshoe
Oliver Gran,66,869 22 929,Lilleplassen 66,0146,Mal,Cão da Serra de Aires
Amalie Andreassen,73,+47 72 27 04 87,Evengata 87,0526,Gjes,Rough Collie
Kristian Fjeld Sr.,77,104 84 678,Bekkerøa 1,4376,Høy,Kaikadi
Lars Stensrud,19,+47 09 91 02 04,Bjørkeekra 5,0949,Lo,Oriental
Prof. Andrea Smedsrud,84,22 77 20 78,Vassvollen 9,0614,Høy,undefined
Markus Moe,71,07397210,Blåveisberget 81,2882,Mal,Chausie
Mari Jakobsen,87,+47 39 54 80 07,Østre Lilletoppen 6,7122,Fet,Trigg Hound
Adrian Kleven,59,19509536,5051,Ut,Pumi
Tobias Finstad,59,103 69 005,Hoplands Vei 03,5297,Sme,Balinese
Julie Nilsen,54,53386816,Fiolstubben 69,0273,Tand,Bombay
Herman Andersen,80,412 67 350,Litjalléen 02,2288,Stav,Alopekis
Kasper Smogeli,86,+47 73 98 37 70,Solduggekra 62,6380,Sme,Thai
Celine Johannessen,88,129 55 533,Furuhaugen 85,0137,Sme,Kai Ken
Dr. Maren Berntsen,91,22683256,Thoresensvei 35,5216,Gjes,Ibizan Hound
86,14711697,Hansens Vei 32,8816,Fager,Perro de Presa Canario
Kasper Myhrer,36,74 36 12 88,Martinsensgate 18,7521,Tand,Korat
Maja Jensen,42,892 64 128,Jørgengata 5,0902,Lo,Persian
Erik Fredriksen,33,+47 64 26 81 90,Jakobsengata 7,4307,Ut,Ratonero Valenciano
Maja Martinsen,67,18397849,Mariuss Gate 68,0348,Tand,Ragdoll
Kristine Bakken Jr.,43,883 48 784,Høyrøa 28,6587,Fet,Treeing Tennessee Brindle
Ole Kristoffersen,40,29 10 19 86,Helenes Vei 3,8306,Sme,Schipperke
Anna Bakke,41,+47 50 12 45 75,Fossealléen 17,0396,Lille,Oriental
Kristoffer Andersen,92,56271734,Pettersens Gate 5,0905,Fet,Abyssinian
Prof. Eirik Berntsen,15,566 62 302,Malmtoppen 76,3308,Nær,East Siberian Laika
Nora Smogeli,36,426 66 530,Selmas Vei 5,0085,Nær,Siberian
Even Bjørnstad,38,81 80 40 22,Idagata 80,8474,Nord,LaPerm
Dr. Vilde Nilsen,51,+47 26 72 58 83,Bakkegata 72,7166,Mal,Serengeti
Linnea Halvorsen,46,10 72 72 98,Røedveien 6,3578,Lo,Pampas Deerhound
Mia Andersen II,38,16 87 89 68,Korstoppen 73,0920,Nord,Pointer
Herman Nygård,47,413 80 197,Vestre Furuekra 5,0540,Høy,Greyhound
Johannes Larsen,37,91 10 45 06,Kristiansenveien 09,0204,Nord,Hällefors Elkhound
Sebastian Fredriksen,55,+47 03 62 79 78,Bergegata 40,5154,Tand,Rottweiler
Jenny Kristoffersen,21,97693533,Elveholtet 9,2982,Stav,Treeing Tennessee Brindle
Jenny Johnsen,74,113 93 042,Larsgata 31,7210,Lo,Birman
Marte Jakobsen,77,34250211,Mathiass Gate 7,6272,Stav,Manx
Victoria Smogeli,16,95164962,Karolinesvei 2,9473,Gjes,Burmese
Prof. Mats Jakobsen,64,68450224,Adrians Gate 3,2584,Mal,undefined
Frida Smogeli,56,+47 17 63 73 13,Hannas Vei 5,9643,Ut,Bergamasco Shepherd
Filip Nygård,73,46837359,Bruhøgda 0,9735,Tand,Sphynx
Tiril Olstad III,58,+47 92 96 59 82,Gamle Elvealléen 2,0704,Nord,Miniature American Shepherd
Leah Vedvik,66,059 06 684,Fridagata 64,3672,Vest,New Guinea Singing Dog
William Pettersen,62,+47 16 96 44 37,Synnesgate 2,0904,Fet,Singapura
Dr. Sara Østby,64,62 68 42 13,Østre Solduggstykket 5,1421,Mal,Entlebucher Mountain Dog
Dr. Leah Hansen,84,+47 40 07 52 02,Henrikgata 1,9131,Lille,undefined
Anders Karlsen,67,554 13 836,Klevens Gate 9,5530,Lo,LaPerm
Herman Nordskaug,79,+47 02 03 87 80,Noras Gate 0,0246,Lille,Smalandstövare
Nora Jacobsen,84,61 62 70 58,Hermansvei 1,2041,Sand,Highlander
Sebastian Pedersen II,48,+47 35 46 97 58,Olesgate 13,5013,Sme,Doberman Pinscher
Tobias Larsen,17,89 64 25 95,Søndre Solduggkollen 4,1026,Vest,Lhasa Apso
Mats Rasmussen IV,76,d0wk8n2nb,Siljesgate 9,2758,Lille,Sabueso Español
Emma Ødegård,38,258 69 318,Nedre Geiteryggalléen 3,6297,Stav,Ojos Azules
Nikolai Olsen,89,+47 73 61 73 72,Gamle Dambråten 0,0272,Lo,Peterbald
Thomas Johannessen,70,73112441,Søndre Hestemyrgata 99,2274,Fager,Tonkinese
Maria Torgersen,31,+47 71 97 06 58,Alexanderveien 0,0611,Sme,Japanese Spitz
Anders Eide Jr.,22,28994999,Danielsensvei 9,0354,Sand,Siamese
Andrea Nordskaug Sr.,19,32 48 44 71,Skoglundsvei 64,4344,Gjes,Ragdoll
Eirik Thoresen V,72,88056773,Emils Vei 4,2044,Nær,Japanese Chin
Maja Arnesen,69,10288305,Nedre Torgfaret 86,0049,Ut,Maine Coon
Prof. Camilla Smedsrud IV,51,+47 39 14 47 97,Benjamins Gate 53,0706,Tand,Nebelung
Magnus Carlsen,30,+47 13 79 65 05,Rasmussenveien 5,9991,Nær,Volpino Italiano
Prof. Celine Torgersen,54,69316197,Minaveien 5,9700,Inn,Toyger
Markus Andreassen,80,93878128,Kirketunet 7,0315,Tand,Devon Rex
Herman Andresen,83,vi4fkbysa,Haugensgate 8,6312,Sand,Maine Coon
Dr. Mats Løken,72,844 64 553,Madeleines Vei 7,1199,Sand,Havana
Malin Amundsen,81,79252218,Løkensgate 8,4076,Lille,Korat
Camilla Karlsen,46,+47 70 14 23 54,Furugropa 40,3528,Sme,Pražský Krysařík
Marius Nordskaug,80,38051953,Håkons Gate 46,9231,Gjes,Russo-European Laika
Mathias Martinsen,77,208 85 742,Kirkekollen 02,6971,Gjes,Bombay
Sunniva Fjeld,27,46840729,Elines Vei 78,5669,Stor,Irish Setter
Jørgen Huseby,24,266 35 141,Ryanveien 4,3459,Stav,Russian Blue
Celine Johansen,83,27 81 58 37,Østre Konvallbråten 73,3290,Fet,Turkish Angora
Thea Holm,39,31 78 05 86,Furuhaugen 33,6152,Mal,Montenegrin Mountain Hound
Maja Smedsrud,61,267 85 763,Gamle Korskroken 63,0856,Lille,Donskoy
Madeleine Skuterud,44,+47 27 65 70 82,0904,Sme,Siamese
Markus Skuterud II,45,+47 24 17 92 87,Bjørkegjerdet 9,6452,Gjes,Portuguese Pointer
Sunniva Rasmussen,62,62970726,Sebastiansvei 55,4876,Lille,Balinese
Dr. Eline Aasen,54,77 42 95 85,Kujordet 62,0201,Gjes,Bohemian Shepherd
Sara Fossum Jr.,86,12859508,Vestre Fossehøgda 0,5233,Sme,Ojos Azules
Kaja Krogh V,53,+47 27 45 52 66,Østre Kirkeeggen 7,6976,Høy,Sokoke
Julie Arnesen,25,+47 18 39 31 94,Vassjordet 47,7350,Lo,Somali
Herman Lie,27,76094554,Selmasvei 7,0994,Fager,American Curl
Synne Jensen,66,+47 47 81 18 21,Heddas Vei 9,0910,Fager,Dogue de Bordeaux
Hanna Evensen,24,+47 48 25 75 58,Søndre Granroa 8,1539,Gjes,Egyptian Mau
Jonas Johnsen,45,030 08 216,Kristiangata 6,1701,Lille,Turkish Angora
Synne Tangen,86,+47 29 98 01 39,Hannas Vei 3,0843,Lille,Siamese
Dr. Benjamin Sæther,43,537 69 472,Vestre Vassberget 4,4330,Fager,Weimaraner
Oliver Johnsen,71,+47 42 75 78 62,Emilgata 49,0957,Fet,Schapendoes
Erik Aasen,92,+47 23 42 66 63,Nilsens Gate 43,2323,Inn,Pungsan Dog
Dr. Tuva Eriksen,67,50904333,Vestre Malmtunet 8,5518,Sme,Rajapalayam
Eline Kvarme,73,null,Carlsensvei 7,9319,Stav,Afghan Hound
Mia Svendsen,90,016 96 992,Gamle Sjøringen 12,5624,Lo,Turkish Van
Herman Solberg II,88,58 84 15 38,Noahveien 1,5552,Mal,Egyptian Mau
Emilie Jakobsen,37,+47 34 32 69 63,Heggegata 69,0601,Sme,Cornish Rex
Elias Nguyen,74,75785938,Martinsens Vei 1,2037,Fager,Huntaway
Markus Edvardsen,85,87296335,Eikespranget 60,9915,Inn,Landseer
Jonathan Jacobsen,90,+47 22 87 43 24,Isaksvei 20,4199,Fager,English Cocker Spaniel
Simen Jakobsen,22,+47 02 64 97 23,Mikkels Gate 06,0875,Sand,Thai
Noah Lie,67,+47 40 05 92 23,Gamle Heggeskogen 49,2453,Ut,Nova Scotia Duck Tolling Retriever
Dr. Emilie Dahl,82,54 19 38 00,Nedre Fioltjernet 55,0472,Stav,Ragdoll
Filip Pettersen,17,+47 00 95 58 71,Hestemyrroa 0,9350,Vest,West Siberian Laika
Victoria Rasmussen,69,631 96 360,Kristoffersenveien 04,0575,Tand,Manx
Magnus Olsen II,27,48 06 51 67,Nguyens Gate 2,2766,Nord,Bernese Mountain Dog
Benjamin Løken,20,null,Søndre Høymarka 45,0493,Fet,Chartreux
Kristian Martinsen,59,58 75 64 02,Grantjernet 9,0003,Tand,Miniature Fox Terrier
Sunniva Vedvik,79,67 49 87 03,Granmarka 8,3423,Lo,Ocicat
Marius Sørlie,68,93 79 03 74,Eiriks Gate 98,9215,Nær,Chien Français Tricolore
Magnus Smogeli,37,37 79 42 50,Østre Fiolalléen 2,2470,Inn,Czechoslovakian Wolfdog
Vilde Strand I,82,03 52 38 90,Haukelidsætergata 45,5610,Stav,Donskoy
Prof. Aksel Myhrer,35,63 35 93 88,Amundsens Vei 67,0669,Sand,Maine Coon
Kristian Haugen,77,464 21 590,Damgjerdet 1,6667,Sand,Tosa
Mathias Kristoffersen,90,+47 44 71 19 66,Røedgata 6,0406,Ut,Perro de Pastor Mallorquin
Dr. Daniel Torp,42,+47 53 23 81 03,Skuteruds Gate 3,8633,Høy,Saluki
Dr. Maren Kvarme,52,+47 70 10 82 40,Presteløkka 11,4828,Stav,Dandie Dinmont Terrier
Herman Jørgensen,89,00816710,Konvalleggen 3,6132,Inn,Havana
Karoline Danielsen,86,205 90 371,Søndre Vassvika 0,3566,Lille,Toyger
Kaja Jensen,30,94963806,Jørgensensvei 1,2636,Fager,Canadian Eskimo Dog
Thea Henriksen,16,49 12 99 48,Martines Gate 3,1617,Stor,Japanese Spitz
Kristoffer Holm Jr.,73,12434920,Christiansensvei 6,0906,Mal,Basset Artésien Normand
Prof. William Lunde,18,+47 56 25 98 96,Vestre Granmarka 9,7303,Mal,Sokoke
Frida Bjerke,70,+47 21 77 78 32,Konvallgjerdet 60,0815,Nær,American Shorthair
Dr. Sindre Johnsen II,36,+47 78 78 88 80,Martinsengata 45,7492,Sme,Swedish Lapphund
Oda Solheim,27,12174010,Furuhavna 95,0056,Sand,German Spitz
Mia Kristensen,23,03 40 67 97,Øvre Geiteryggvika 4,6428,Tand,Vizsla
Henrik Hansen,15,98 39 36 16,Høylia 9,9538,Sme,undefined
Oda Sørensen,78,38 99 61 07,Heggegropa 1,5352,Nær,Paisley Terrier
Alexander Bjerke,41,61 84 43 02,Tirilsgate 1,9335,Stav,Selkirk Rex
Eline Johnsen,24,68494442,Marisgate 75,5114,Lille,Irish Wolfhound
Prof. Sebastian Thoresen,38,13762956,Bjørkelyngen 90,5517,Nord,Selkirk Rex
Vilde Fredriksen,63,90 16 92 99,Amundsenveien 38,4513,Nær,Japanese Spitz
Martin Halvorsen,81,594 49 040,Magnussgate 69,0853,Vest,American Curl
Mina Aalerud,70,+47 87 48 27 36,Nedre Grankroken 5,1946,Stav,Tonkinese
Erik Østby,59,+47 01 46 18 22,Eides Gate 6,4666,Inn,Scottish Fold
Martin Ødegård,36,+47 30 10 66 64,Vegges Gate 45,0971,Tand,Ibizan Hound
Even Martinsen,39,73975838,Ryansvei 8,0678,Lo,Tonkinese
Natalie Kristensen,46,+47 55 25 72 89,Prestejordet 2,1204,Mal,Bengal
Mia Dahl,19,31 17 28 94,Østre Sjøberget 96,4881,Fager,Chartreux
Mats Ryan,57,591 60 662,Gamle Furustubben 8,0901,Tand,Burmese
Ole Johansen,23,+47 72 84 88 68,Vestre Blåveishavna 9,2158,Gjes,American Curl
Malin Nygård,39,57987998,Amundsens Vei 6,0572,Nord,Greek Harehound
Kristian Skuterud,16,84369038,Sollunden 9,0947,Nord,Catalan Sheepdog
Camilla Andersen,68,87 80 09 07,Litjengen 1,5885,Nord,Korat
Tobias Skoglund,41,82272207,Vestre Torgengen 62,0144,Sme,American Wirehair
Emil Glosli,62,612 11 699,Myhrerveien 1,4815,Sme,Perro de Pastor Mallorquin
Helene Nielsen,45,57 71 77 50,Lillehavna 61,2270,Sme,Turkish Angora
Prof. Sebastian Haugen,33,+47 21 33 84 32,Vestre Lilleholtet 5,0644,Inn,Maine Coon
Malin Hopland,30,27695851,Mariagata 66,6852,Lille,Toyger
Hanna Vegge,61,72 90 87 11,Østre Høytunet 26,9606,Vest,Bengal
Adrian Evensen,79,049 06 004,Korsgropa 7,0165,Vest,Saint Bernard
Dr. Lars Andersen,72,054 25 465,Auroras Vei 4,0748,Mal,Chausie
Mathilde Nilsen,78,948 68 159,Øvre Granittåsen 77,6850,Ut,Villano de Las Encartaciones
Daniel Svendsen II,41,72218268,Veggeveien 7,1205,Lille,Devon Rex
Victoria Gran,39,+47 69 68 28 36,Torgersensgate 46,0679,Lo,Chien Français Blanc et Noir
Sunniva Andreassen,66,19464083,Granittløkka 6,0920,Lille,Ragdoll
Sofie Hansen,32,90 83 27 33,Østre Heggefaret 23,3016,Stor,Peterbald
Marie Smedsrud,22,55 21 29 91,Auroras Gate 6,6517,Sand,Pixiebob
Filip Pettersen,25,+47 03 50 60 48,Østre Bruskogen 5,3575,Vest,Basque Shepherd Dog
Helene Berg,63,18 06 11 17,Hestemyrstranda 95,3451,Fager,Minskin
Dr. Maren Jensen,77,824 02 123,Prestestykket 57,0780,Sand,Ragdoll
Dr. Sandra Myhrer,49,23619856,Søndre Malmhaugen 1,2008,Lo,Cornish Rex
Even Stensrud III,23,427 92 255,Kirkestranda 83,2787,Stor,Donskoy
Dr. Sofie Ødegård,90,070 47 476,Nedre Granittberget 33,0196,Tand,Vizsla
Sondre Gundersen,22,77673805,Fiolbakken 2,9889,Nord,Singapura
Mina Rasmussen,48,119 73 414,Theas Gate 63,1335,Sme,Ratonero Valenciano
Jakob Sørlie,22,+47 15 53 41 30,Nilsens Vei 0,0509,Lo,Munchkin
Sander Dahl,22,00182376,Thomassgate 5,8785,Stor,Old English Sheepdog
Dr. Marius Kvarme,55,+47 53 98 50 94,Nedre Geiterygglunden 8,8762,Nær,Newfoundland
Hanna Nielsen I,26,93076281,Auroraveien 69,4050,Ut,Borzoi
Thea Lie,66,84591241,Majaveien 84,0708,Sme,American Shorthair
Noah Andreassen II,51,+47 59 10 11 87,Danielsens Gate 62,8583,Lo,Cimarrón Uruguayo
Sandra Torgersen,24,577 54 284,Kroghsvei 28,2681,Vest,Highlander
Erik Sæther IV,45,10 41 75 52,Jensensgate 1,0840,Mal,Braque Francais
Aksel Glosli,30,03 70 23 18,Benjaminsvei 22,4048,Sand,Weimaraner
Linnea Kristensen,87,04 96 31 01,Solduggstykket 7,2811,Lille,Sokoke
Leah Finstad,54,45 88 69 71,Østre Litjlia 81,0904,Fet,Affenpinscher
Mikkel Vedvik,90,99103310,Fossumgata 46,2519,Fager,Somali
Madeleine Henriksen Jr.,44,+47 73 62 63 99,Nedre Blåveisgrenda 7,7023,Sme,Toyger
Noah Ryan,80,899 90 901,Kristoffergata 1,6629,Sme,Japanese Bobtail
Kristine Amundsen,80,340 97 143,Nilsens Gate 9,5801,Fet,Kurilian Bobtail
Sindre Fossum,24,292 66 622,Oles Vei 6,9605,Stav,Pixiebob
Joakim Amundsen,29,73 17 13 50,Oleveien 0,1453,Stav,Drentse Patrijshond
Celine Solheim,63,27823080,Nedre Rognerøa 4,0941,Inn,Sokoke
Vilde Aalerud,57,+47 65 61 58 81,Gamle Vassholtet 35,1790,Vest,Sokoke
Julie Skuterud,59,+47 73 83 81 12,Julies Gate 06,0905,Nord,American Curl
Victoria Rasmussen,89,97007525,Høymarka 9,1969,Tand,Rhodesian Ridgeback
Celine Rasmussen,38,+47 95 81 32 39,Hestemyrstranda 12,3387,Fager,Persian
Aksel Kristiansen,70,+47 04 61 41 36,Gamle Korshavna 5,2739,Gjes,undefined
Julie Berg,79,88937622,Klokkerhavna 05,0597,Nord,Bruno Jura Hound
Simen Aasen,75,91877200,Vassgrenda 53,9048,Lille,Japanese Bobtail
Maria Glosli,71,08 04 40 05,Hannasgate 5,4858,Sme,Black and Tan Coonhound
Even Kristiansen II,86,+47 44 20 98 16,Øvre Korsjordet 9,0589,Lille,Ocicat
Isak Nordskaug,69,+47 83 05 56 12,Lillegrenda 0,4019,Nær,Sokoke
Andrea Kristensen IV,44,70166657,Nedre Solvika 75,0428,Ut,British Shorthair
Daniel Fredriksen,57,+47 19 41 12 01,Hagens Vei 76,5483,Stav,Porcelaine
